did	meanlog	sdlog
did:plc:22427wgugtnma5atrphexl6r	7.10672319896855	2.2432562971463
did:plc:22623k3aqlwnyhwqjn3vuih2	7.90615385220168	1.99168133371775
did:plc:227vw3i53t4yadw5r5pzlqsq	7.74177305786147	2.22932381742179
did:plc:22cwcdri47aumyf3b63euox4	6.36107826100293	1.78047636258426
did:plc:22cywgx5tbs5kv6uw7uwycol	8.93374684011575	1.32470054701296
did:plc:22fdhaphsekbpffoqc56juv6	7.9281811337474	2.12145409046694
did:plc:22g76b5uv7d7gpsriovic5sy	7.40235496522052	1.97702452082482
did:plc:22h3qsbguh3whzswkzyegdcj	7.16928743282478	1.80460040937017
did:plc:22if6oh2k7owt6c7xe5agdgg	7.050757489436	2.03223463554957
did:plc:22jxirit5lr6rz7qd6oq5h4o	7.4954913613761	1.99901670432279
did:plc:22kb2wlv7eltj7qoxhcqjyej	7.26138819107063	1.61163163531574
did:plc:22klexvq3oywxvy3etxnpg45	7.89696924634165	1.11865819441976
did:plc:22l22puyblrsndikg62kvu67	7.61067816355758	2.29051497788757
did:plc:22ovnr4fqpypt2yofs3irhvb	6.82305664322893	2.55163219212854
did:plc:22u73jykg7lcwuu3trs7uslg	8.21569510819361	1.17259249244913
did:plc:22wudtfk2tnqz7weotbh46jc	7.43248867828737	1.81237773593797
did:plc:22xmc3vkgoc7jhb37kn7o3qf	7.37232714102169	1.62422853340406
did:plc:22xovbqphia5nspztzwgpovq	6.88726284612298	1.93293731279918
did:plc:22znwgj3pukbswvtt5jdglku	7.29315152345742	1.84676241928591
did:plc:236as46ff3xbu74qmtvmd7e4	7.83755810354304	1.47323790422133
did:plc:23c75wqtznhjint2655cgtr6	7.22275668826271	2.42664489875196
did:plc:23clymuvyozhubpmjxq6pxjf	6.67881538383643	1.61572910031113
did:plc:23dwhcksgk2pzqcpphubzmbr	7.53952982203729	2.13256616717508
did:plc:23eubao7xzvio5rvaa3i3gcf	7.73791725301872	1.70021934228229
did:plc:23gva7goojtw5inw44qxmnao	7.07900562344374	1.87586715125094
did:plc:23jp7i2vjxkiwozrdxqqxdoa	7.12887669720172	2.23885328009356
did:plc:23kbvocd2gxobaiylpshyx2q	6.96151193343688	2.03314748024129
did:plc:23lchhk5yik7kpi6hlhx4fnd	6.76543622602076	2.02676849562683
did:plc:23m6a3fuabc455i4cqebxxet	7.30033344168162	2.21993511778662
did:plc:23mhm63ih7mb4lmxjkkpnohf	7.33326016110883	1.75393006259884
did:plc:23ml2igbg2saidkmqcfwqqyi	7.40618622966027	2.13454071542527
did:plc:23n6gp6n6gfazxtbrlj56g5q	6.86652544732354	2.29446204067728
did:plc:23nedvtw6mena5sg35sqrhlg	7.26929932112857	2.36721642636636
did:plc:23oikfxvtcfpgyluf43gzpu4	7.57980154147211	1.80119789286482
did:plc:23pokdas7wf6rgvbd2vmtujc	7.32391146488184	2.09793593809348
did:plc:23q74bxwfupguvz6y6w3qmim	7.18205684895812	2.31955807537895
did:plc:23qpnx3shcgi3dyfs6jakujc	7.18357741052343	2.12963642909023
did:plc:23qwiudwp5emckzhzr4duqwg	7.97189509617316	1.954251112279
did:plc:23rjhnmtiay5whohlg3fijdf	6.95466694817625	2.2293143566
did:plc:23s266os6c3sk7zqkph2mrye	7.0205798965121	2.01316451635476
did:plc:23suazjai3z2td7xbo4tgmex	8.56239731721684	1.46431776704204
did:plc:23xiady45gajlf6nwlj2k2kj	7.01717357935864	1.8737319279993
did:plc:23xwlwlqowgi6s5kxqhlqhm7	7.89710302472521	1.59703988233264
did:plc:23yiaw23p6j4toay33qd654x	6.51386811294908	2.05402651267968
did:plc:23yu5pv567wwqrur6mmimfuo	7.1892921052916	2.26965220422673
did:plc:23z3dumz3tnh4jat377afesb	6.4962108939313	1.75013170444361
did:plc:23zfas5o6aufneieinzh2cq6	7.19143491832285	1.91892436268648
did:plc:2444wwiqjkcawdm7bzp2ubnw	6.89459319453398	2.0470651318469
did:plc:244mxmy2yqnocx7riuix5554	7.9344103985094	1.7322686258774
did:plc:247toqmkjkyamn5omb3s5e4b	6.94436695700215	2.3570560872482
did:plc:24ao2x37qgmtljivofesksm5	7.74421706658596	1.5770407681596
did:plc:24ar6kylzimblkkh4wcjyqf6	6.84166098321777	2.25958683882549
did:plc:24cg7hkluqerc6r7ilhtz2au	7.27422563782546	1.93617126729084
did:plc:24fquv4kxggresttyapsdsq2	7.24188817155486	2.09777926325941
